recordID,10y_down:base,10y_up:base,1y_down:base,1y_up:base,2y_down:base,2y_up:base,30y_down:base,30y_up:base,3y_down:base,3y_up:base,4y_down:base,4y_up:base,5y_down:base,5y_up:base,7y_down:base,7y_up:base,base:1_D,base:1_U,base:2_D,base:2_U,base:3_D,base:3_U,base:4_D,base:4_U,base:5_D,base:5_U,base:base
2,-16831.7,-16416.2,-16654.9,-16654.5,-16655.2,-16654.4,-16107.9,-16831.7,-16655.3,-16654.1,-16655.5,-16653.8,-16656.3,-16653,-16658.6,-16650.9,-16616,-16693.5,-16632.2,-16677.3,-16593.1,-16716.4,-16637.8,-16671.6,-16628,-16681.4,-16654.7
2,-13010.5,-12522.4,-12768.4,-12768,-12768.6,-12767.8,-12204.4,-13328,-12768.8,-12767.5,-12769.1,-12767.2,-12769.9,-12766.5,-12772.2,-12764.2,-12739.6,-12796.7,-12752.6,-12783.7,-12737.4,-12798.9,-12741.5,-12794.8,-12741.9,-12794.4,-12768.2
2,-11100.9,-10577,-10841,-10840.6,-10841.3,-10840.4,-10235.9,-11441.5,-10841.5,-10840.2,-10841.8,-10839.9,-10842.6,-10839,-10845.1,-10836.6,-10823.6,-10858,-10834.6,-10847.1,-10795,-10886.7,-10826,-10855.6,-10816.5,-10865.2,-10840.8
2,28508,28347.3,28426.6,28430.3,28421.8,28435.2,29960.5,27155.8,28420.3,28436.4,28418.4,28438.4,28409,28447.7,28381.3,28475.4,28492.7,28364.4,28452.6,28404.6,28492.8,28364.3,28517.5,28339.6,28556.3,28300.9,28428.6
2,633.161,62.4694,347.617,350.762,343.237,355.416,1387.36,-688.729,342.016,356.375,340.223,358.024,331.374,366.945,305.946,392.161,531.351,166.905,422.732,275.528,532.714,165.545,434.661,263.598,469.158,229.101,349.129
2,-18174,-17618.6,-17898.5,-17898,-17898.7,-17897.8,-17256.8,-18535.3,-17898.9,-17897.5,-17899.1,-17897.3,-17900.2,-17896.3,-17902.8,-17893.7,-17849.5,-17947,-17879.4,-17917.1,-17824.3,-17972.3,-17886.9,-17909.7,-17872.3,-17924.3,-17898.3
2,21618.3,21428.4,21522.5,21526.1,21517.1,21531.3,23109.8,19957.5,21515.8,21532.7,21513.9,21534.6,21504.1,21544.4,21474.7,21573.5,21664.4,21384,21565.7,21482.8,21592.7,21455.7,21614.4,21434.2,21655.6,21393,21524.2
2,12391.7,11821.3,12106.1,12109.5,12101.4,12114.2,13145.3,11070.4,12100.5,12115,12098.8,12116.6,12089.9,12125.5,12064.4,12151,12237.1,11978.5,12161.7,12053.9,12254.5,11961.1,12188.4,12027.2,12224.4,11991.2,12107.8
2,-14687,-14141.7,-14416.6,-14416.1,-14416.9,-14415.8,-13786.5,-15041.8,-14417.1,-14415.5,-14417.4,-14415.3,-14418.2,-14414.4,-14420.8,-14411.8,-14373.2,-14459.5,-14392.9,-14439.8,-14381.1,-14451.6,-14401,-14431.7,-14389.4,-14443.3,-14416.4
2,6477.47,5904.53,6190.88,6194.06,6186.07,6198.73,7234.88,5150.16,6185.11,6199.68,6183.46,6201.3,6174.42,6210.2,6148.8,6235.77,6310.41,6074.39,6250.69,6134.11,6382.12,6002.67,6299.17,6085.63,6308.88,6075.91,6192.4
