recordID,10y_down:base,10y_up:base,1y_down:base,1y_up:base,2y_down:base,2y_up:base,30y_down:base,30y_up:base,3y_down:base,3y_up:base,4y_down:base,4y_up:base,5y_down:base,5y_up:base,7y_down:base,7y_up:base,base:1_D,base:1_U,base:2_D,base:2_U,base:3_D,base:3_U,base:4_D,base:4_U,base:5_D,base:5_U,base:base
30002,92916.7,93201.7,93055.1,93060.8,93042.9,93073.2,93823.2,92294.9,93041.9,93074,93038.7,93076.4,93019.8,93095.2,94485.1,91633,93057.7,93057.7,93272.5,92842.8,93558.7,92556.2,93505.3,92610.6,93057.7,93057.7,93057.7
30002,137719,141635,139658,139668,139641,139685,144736,134637,139638,139687,139632,139693,139603,139723,141404,137925,139663,139663,139850,139477,140098,139228,140240,139088,139663,139663,139663
30002,185656,188616,187120,187130,187103,187147,191108,183177,187100,187150,187096,187154,187068,187182,188911,185342,187126,187126,187163,187088,187213,187037,187779,186475,187126,187126,187126
30002,141712,142063,141884,141893,141867,141910,145444,138395,141864,141912,141859,141917,141831,141945,142718,141060,141889,141889,141970,141807,142078,141698,142631,141149,141889,141889,141889
30002,142848,145251,144032,144042,144016,144058,147421,140856,144014,144060,144009,144064,143983,144091,145751,142327,144037,144037,144167,143906,144341,143731,144726,143350,144037,144037,144037
30002,148647,148730,148686,148695,148670,148711,151920,145508,148667,148713,148663,148718,148635,148746,149500,147883,148691,148691,148798,148583,148942,148439,149241,148141,148691,148691,148691
30002,162076,162854,162459,162469,162443,162486,165605,159365,162440,162488,162435,162493,162407,162520,163683,161245,162464,162464,162584,162343,162745,162182,163013,161916,162464,162464,162464
30002,45527.1,45254.5,45388.4,45392.6,45379.1,45402.4,45431.1,45351,45379.1,45403.1,45376.8,45405.1,45363.3,45418.3,46524.9,44259.5,45391,45391,45668,45114,46037.6,44744.9,45676.9,45104.4,45391,45391,45391
30002,128280,129135,128702,128709,128687,128723,132019,127101,128686,128725,128682,128728,128659,128751,130301,127349,128705,128705,128846,128565,129033,128378,129351,128061,128705,128705,128705
30002,142037,145682,143837,143846,143821,143862,148585,139198,143819,143864,143813,143869,143787,143896,145435,142251,143842,143842,143947,143736,144088,143595,144428,143257,143842,143842,143842
30002,183961,185924,184934,184941,184917,184957,187736,182147,184915,184959,184911,184963,184885,184987,186613,183264,184937,184937,184920,184954,184898,184975,185628,184251,184937,184937,184937
30002,131287,132043,131659,131665,131646,131678,133013,130307,131646,131680,131643,131683,131623,131703,133084,130244,131663,131663,131741,131584,131845,131480,132197,131130,131663,131663,131663
30002,111493,114244,112853,112862,112838,112876,116537,109317,112836,112878,112832,112883,112806,112908,114439,111279,112857,112857,113085,112630,113388,112326,113318,112397,112857,112857,112857
30002,101455,101442,101446,101455,101431,101471,104852,98481.4,101429,101472,101424,101477,101398,101502,102193,100708,101451,101451,101601,101300,101802,101098,102198,100705,101451,101451,101451
30002,-4727.46,-3646.5,-4192.81,-4189.09,-4194.38,-4186.97,-2445.75,-5929.95,-4196,-4185.51,-4198.32,-4183.61,-5266.58,-3106.92,-2858.96,-5521.46,-4190.67,-4190.67,-4258.81,-4122.48,-4349.63,-4031.45,-3908.48,-4472.54,-4190.67,-4190.67,-4190.67
30002,134144,136250,135184,135192,135170,135207,138123,132286,135168,135209,135164,135213,135140,135236,136761,133618,135189,135189,135322,135055,135499,134877,135722,134656,135189,135189,135189
30002,42414.2,43048.2,42726.9,42732.8,42713.5,42745,43904.7,41550.4,42712.7,42746,42709.3,42748.6,42689.6,42768.2,44161.8,41298.8,42729.6,42729.6,43084.3,42374.9,43557.3,41901.9,43228.4,42230.8,42729.6,42729.6,42729.6
30002,127095,127292,127190,127196,127177,127209,127874,126513,127177,127209,127173,127212,127154,127231,128673,125716,127193,127193,127291,127095,127422,126964,127764,126624,127193,127193,127193
30002,116436,119807,118104,118114,118089,118130,122520,113745,118086,118132,118082,118137,118056,118163,119695,116526,118109,118109,118326,117892,118614,117603,118573,117645,118109,118109,118109
30002,156087,158539,157301,157310,157285,157327,160687,153940,157282,157328,157277,157333,157250,157359,159062,155552,157306,157306,157421,157190,157575,157035,157950,156664,157306,157306,157306
30002,109233,109761,109494,109499,109481,109512,110532,108453,109480,109512,109477,109515,109458,109534,110900,108095,109496,109496,109636,109357,109822,109171,109999,108994,109496,109496,109496
30002,117696,118366,118027,118036,118011,118052,122161,114092,118008,118054,118003,118059,117976,118087,118671,117393,118031,118031,118211,117852,118449,117612,118518,117546,118031,118031,118031
30002,124193,125707,124938,124944,124925,124958,127158,122737,124923,124960,124919,124963,124899,124984,126361,123527,124941,124941,125008,124874,125096,124785,125578,124306,124941,124941,124941
30002,142438,144461,143439,143447,143424,143463,146298,140603,143422,143464,143417,143468,143392,143493,145096,141792,143443,143443,143551,143334,143696,143189,144093,142794,143443,143443,143443
30002,125994,126615,126290,126297,126275,126312,127658,124923,126273,126313,126269,126317,126246,126340,127957,124636,126294,126294,126506,126081,126790,125797,126827,125761,126294,126294,126294
30002,103135,103348,103239,103244,103227,103256,103972,102503,103226,103257,103223,103260,103204,103277,104607,101878,103241,103241,103405,103077,103624,102859,103695,102788,103241,103241,103241
30002,101455,101436,101442,101448,101430,101460,101971,100917,101429,101461,101426,101464,101408,101482,102836,100056,101445,101445,101615,101276,101841,101049,101955,100935,101445,101445,101445
30002,127816,127385,127599,127604,127587,127616,130122,127435,127586,127616,127583,127619,127566,127636,128914,126533,127601,127601,127695,127507,127820,127382,128041,127162,127601,127601,127601
30002,177139,180931,179014,179025,178998,179042,183950,174157,178995,179044,178989,179049,178961,179078,180726,177315,179019,179019,179072,178966,179143,178895,179595,178446,179019,179019,179019
30002,6484.12,7223.82,6849.37,6856,6835.87,6868.31,8214.32,5482.79,6834.34,6870.4,6831.54,6873.16,6810.51,6893.79,8332.17,5374.22,6852.73,6852.73,7335.29,6370.14,7978.65,5726.62,7376.33,6329.25,6852.73,6852.73,6852.73
